dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	41925	40094	1831	5	0.0181	0.0080	25.3533
4	4	10584	9676	908	0	0.0179	0.0041	13.6112
8	8	2646	2232	414	0	0.0179	0.0022	7.8195
16	16	675	483	192	0	0.0176	0.0012	4.7576
32	32	182	102	80	0	0.0163	0.0007	3.4978
64	64	49	15	34	0	0.0151	0.0003	2.3774
128	128	16	4	12	0	0.0116	0.0001	1.9454
256	256	4	0	4	0	0.0116	0.0000	1.2652
